final_date,tr_streams,tr_rank,yt_views,google_search_interest,spotify_z,youtube_z,trends_z
2021-03-01,0.0,0.0,340000,1,-0.5498452555826044,-0.6483144979000116,-0.6934270868838102
2021-04-01,0.0,0.0,290000,1,-0.5498452555826044,-0.6700814077698677,-0.6934270868838102
2021-05-01,0.0,0.0,270000,1,-0.5498452555826044,-0.6787881717178101,-0.6934270868838102
2021-06-01,0.0,0.0,270000,1,-0.5498452555826044,-0.6787881717178101,-0.6934270868838102
2021-07-01,0.0,0.0,240000,1,-0.5498452555826044,-0.6918483176397238,-0.6934270868838102
2021-08-01,0.0,0.0,300000,1,-0.5498452555826044,-0.6657280257958965,-0.6934270868838102
2021-09-01,0.0,0.0,260000,1,-0.5498452555826044,-0.6831415536917813,-0.6934270868838102
2021-10-01,0.0,0.0,220000,1,-0.5498452555826044,-0.7005550815876662,-0.6934270868838102
2021-11-01,0.0,0.0,189000,1,-0.5498452555826044,-0.714050565706977,-0.6934270868838102
2021-12-01,0.0,0.0,270000,1,-0.5498452555826044,-0.6787881717178101,-0.6934270868838102
2022-01-01,0.0,0.0,230000,1,-0.5498452555826044,-0.696201699613695,-0.6934270868838102
2022-02-01,0.0,0.0,220000,1,-0.5498452555826044,-0.7005550815876662,-0.6934270868838102
2022-03-01,0.0,0.0,220000,1,-0.5498452555826044,-0.7005550815876662,-0.6934270868838102
2022-04-01,0.0,0.0,197000,1,-0.5498452555826044,-0.7105678601278,-0.6934270868838102
2022-05-01,0.0,0.0,210000,1,-0.5498452555826044,-0.7049084635616374,-0.6934270868838102
2022-06-01,0.0,0.0,198000,1,-0.5498452555826044,-0.7101325219304029,-0.6934270868838102
2022-07-01,0.0,0.0,300000,2,-0.5498452555826044,-0.6657280257958965,-0.6379905040570557
2022-08-01,2003156.0,521.0,1360000,11,-0.12339571108655595,-0.20426953655494764,-0.13906125861626548
2022-09-01,10869502.0,48.0,2600000,20,1.7641503477547733,0.3355498282174831,0.35986798682452475
2022-10-01,8332349.0,33.0,2100000,14,1.2240188047462492,0.1178807295189223,0.027248489863997936
2022-11-01,7109915.0,35.0,1690000,12,0.9637762562495358,-0.06060793141389754,-0.08362467578951101
2022-12-01,8557260.0,65.0,1470000,11,1.2718998452154642,-0.1563823348412643,-0.13906125861626548
2023-01-01,7183799.0,55.0,2200000,15,0.9795053348362989,0.16141454925863447,0.08268507269075241
2023-02-01,10102309.0,18.0,5200000,39,1.6008235247861393,1.4674291414499991,1.4131630605328598
2023-03-01,16156849.0,12.0,7700000,38,2.8897674837853913,2.555774634942803,1.3577264777061053
2023-04-01,10893831.0,15.0,7500000,41,1.769329720189094,2.468706995463379,1.5240362261863687
2023-05-01,12550322.0,15.0,8700000,65,2.1219781571614535,2.9911128323399248,2.8545142140284763
2023-06-01,16952739.0,23.0,11100000,100,3.05920357761381,4.035924506093016,4.794794612964883
2023-07-01,9312086.0,61.0,5500000,48,1.43259387197812,1.5980306006691356,1.91209230597365
2023-08-01,7450859.0,81.0,4500000,39,1.0363594267558074,1.162692403272014,1.4131630605328598
2023-09-01,0.0,0.0,3800000,28,-0.5498452555826044,0.857955665094029,0.8033606494385606
