detector,thr,confirm,persist,censor,TPR,premature,FPR,delay,lead,regime_acc
pe,1.25,1,1,True,11.0,89.0,100.0,-0.29,4.21,83.33
pe,1.25,1,2,True,38.33,61.67,98.67,0.62,4.15,87.39
pe,1.25,2,1,True,66.17,33.83,83.0,0.41,4.53,90.18
pe,1.25,2,2,True,93.83,6.17,19.33,1.71,3.86,87.57
pe,1.25,3,1,True,22.0,0.0,0.0,11.95,1.22,65.15
pe,1.25,3,2,True,8.33,0.0,0.0,12.56,0.84,54.0
pe,1.5,1,1,True,14.0,86.0,100.0,-0.19,4.14,82.14
pe,1.5,1,2,True,53.0,47.0,90.67,0.95,4.3,88.36
pe,1.5,2,1,True,78.0,22.0,58.0,0.55,4.7,89.96
pe,1.5,2,2,True,97.5,2.5,7.33,1.83,3.89,85.81
pe,1.5,3,1,True,17.0,0.0,0.0,11.36,1.56,61.76
pe,1.5,3,2,True,4.83,0.0,0.0,11.86,1.03,44.83
pe,1.75,1,1,True,22.67,77.33,100.0,-0.23,4.66,81.62
pe,1.75,1,2,True,68.17,31.83,76.0,1.23,4.33,90.71
pe,1.75,2,1,True,87.83,12.17,32.0,0.72,4.68,89.56
pe,1.75,2,2,True,99.0,1.0,2.33,1.91,3.84,84.18
pe,1.75,3,1,True,10.83,0.0,0.0,10.98,1.91,56.92
pe,1.75,3,2,True,1.67,0.0,0.0,11.0,0.7,50.0
pe,2.0,1,1,True,31.83,68.17,98.67,0.01,4.93,85.34
pe,2.0,1,2,True,80.17,19.83,57.0,1.39,4.17,91.89
pe,2.0,2,1,True,93.0,7.0,15.0,0.85,4.79,88.89
pe,2.0,2,2,True,99.0,0.33,0.33,1.99,3.84,83.33
pe,2.0,3,1,True,6.0,0.0,0.0,10.67,1.42,58.33
pe,2.0,3,2,True,0.67,0.0,0.0,10.75,1.0,25.0
pe,2.25,1,1,True,45.33,54.67,91.67,0.24,4.81,87.5
pe,2.25,1,2,True,88.0,12.0,37.0,1.54,4.1,92.23
pe,2.25,2,1,True,96.67,3.33,8.33,0.96,4.71,88.1
pe,2.25,2,2,True,96.5,0.17,0.33,2.14,3.85,81.87
pe,2.25,3,1,True,3.0,0.0,0.0,10.61,1.0,55.56
pe,2.25,3,2,True,0.33,0.0,0.0,9.5,0.5,0.0
pe,2.5,1,1,True,56.33,43.67,81.33,0.34,4.92,88.76
pe,2.5,1,2,True,91.83,7.33,20.33,1.64,4.11,90.02
pe,2.5,2,1,True,98.17,1.83,5.33,1.05,4.66,86.93
pe,2.5,2,2,True,93.17,0.17,0.0,2.31,3.85,79.25
pe,2.5,3,1,True,1.33,0.0,0.0,10.25,1.38,62.5
pe,2.5,3,2,True,0.0,0.0,0.0,,,
