thr,confirm,persist,censor,TPR,FPR,premature,delay,lead,regime_acc
1.25,2,2,True,94.03 ± 0.98 (±1.22),18.40 ± 1.44 (±1.79),5.90 ± 0.97 (±1.20),1.77 ± 0.09 (±0.11),3.82 ± 0.09 (±0.11),87.70 ± 1.27 (±1.58)
1.5,2,2,True,97.40 ± 0.98 (±1.21),6.73 ± 0.68 (±0.85),2.50 ± 0.94 (±1.16),1.86 ± 0.06 (±0.08),3.84 ± 0.08 (±0.10),86.34 ± 1.44 (±1.79)
1.75,1,2,True,65.50 ± 1.90 (±2.36),75.67 ± 1.43 (±1.78),34.50 ± 1.90 (±2.36),1.25 ± 0.03 (±0.04),4.15 ± 0.13 (±0.16),90.08 ± 1.65 (±2.04)
1.75,2,2,False,97.30 ± 0.75 (±0.93),7.40 ± 2.23 (±2.77),2.70 ± 0.75 (±0.93),1.91 ± 0.07 (±0.08),3.88 ± 0.10 (±0.13),85.75 ± 1.42 (±1.77)
1.75,2,2,True,98.77 ± 0.35 (±0.43),2.13 ± 0.61 (±0.75),1.07 ± 0.19 (±0.24),1.93 ± 0.07 (±0.09),3.81 ± 0.06 (±0.07),85.11 ± 1.47 (±1.83)
1.75,3,2,False,99.47 ± 0.43 (±0.54),0.07 ± 0.15 (±0.19),0.10 ± 0.09 (±0.11),2.31 ± 0.05 (±0.07),3.52 ± 0.12 (±0.14),77.68 ± 1.44 (±1.79)
1.75,3,2,True,1.97 ± 0.51 (±0.63),0.00 ± 0.00 (±0.00),0.00 ± 0.00 (±0.00),11.15 ± 0.24 (±0.30),0.77 ± 0.15 (±0.19),40.74 ± 6.25 (±7.76)
2.0,2,2,True,98.73 ± 0.19 (±0.24),0.53 ± 0.38 (±0.47),0.33 ± 0.12 (±0.15),2.03 ± 0.07 (±0.09),3.77 ± 0.07 (±0.09),83.70 ± 1.79 (±2.22)
2.25,2,2,True,96.80 ± 0.57 (±0.71),0.13 ± 0.18 (±0.23),0.13 ± 0.07 (±0.09),2.18 ± 0.08 (±0.10),3.74 ± 0.08 (±0.11),81.06 ± 1.59 (±1.98)
2.5,2,2,True,92.87 ± 0.45 (±0.56),0.00 ± 0.00 (±0.00),0.07 ± 0.09 (±0.11),2.36 ± 0.07 (±0.09),3.76 ± 0.09 (±0.12),77.96 ± 1.63 (±2.03)
